,PubChemID,SMILES,logKp,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Polar Surface Area,Rotatable Bonds,Aromatic Rings,sp3-Atoms,amide_amide,amide_amides,amine_amine,alkyl-amine_alkyl-amine,aromatic amine_aromatic amine,aromatic nitrogen_aromatic nitrogen,basic nitrogen_basic nitrogen,acidic oxygen_acidic oxygen,acidic oxygen_acidic oxygens,AA,ALCOHOL,ALIPH. MISC.,AROM. MISC.,AZEPANE,AZONE OTHER,CAPROLACTAM,ESTER,ETHER,FATTY ACID,INORGANIC MISC.,MORPHOLINE,PIPERAZINE,PIPERIDINE,PIPERIDONE,POLYOL,PYRROLIDINE,PYRROLIDONE,STEROID,SUCCINIMIDE,SURF,TERP
0,137,C(CC(=O)O)C(=O)CN,-4.15,131.13,-3.0402,-0.49,4,2,80.39,4,0,5,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,85362,C(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N,-4.82,275.307,-2.0668,-2.211,6,4,108.21,5,2,6,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,750,C(C(=O)O)N,-4.42,75.0667,-3.3504,-0.028,3,2,63.32,1,0,3,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5962,C(CCN)CC(C(=O)O)N,-4.77,146.189,-4.6792,-0.785,4,3,89.34,5,0,8,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,424,C(C(C(=O)O)N)C(=O)O,-5.03,133.10299999999998,-3.813,-0.151,5,3,100.62,3,0,5,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6274,C1=C(NC=N1)CC(C(=O)O)N,"-5,26",155.156,-3.5054,-0.38,5,3,92.0,3,1,4,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8103,CCCCCCO,-1.57,102.176,1.8681,-1.557,1,1,20.23,4,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,957,CCCCCCCCCO,-1.21,130.23,2.7769,-2.097,1,1,20.23,6,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,8174,CCCCCCCCCCO,-1.15,158.284,3.6857,-2.637,1,1,20.23,8,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8914,CCCCCCCCCO,-2.52,144.257,3.2313,-2.367,1,1,20.23,7,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,8129,CCCCCCCO,-1.50,116.203,2.3225,-1.827,1,1,20.23,5,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
